family,genus,species,taxonomic.rank,taxon,habitat,feeding.mode,tl,body.shape,fin.shape,AR,offspring.size,spawning.type,age.maturity,fecundity,length.infinity,growth.coefficient,length.max,age.max
Acipenseridae,Acipenser,oxyrinchus,S,Acipenser oxyrinchus,demersal,benthivorous,3.33,elongated,heterocercal,1.60,2.45,non-guarder,12.8,2392873,269,0.05,430,60.0
Acipenseridae,Acipenser,oxyrinchus,S,Acipenser oxyrinchus,demersal,benthivorous,3.33,elongated,heterocercal,1.60,2.45,non-guarder,12.8,2392873,269,0.05,430,60.0
Acipenseridae,Acipenser,oxyrinchus,S,Acipenser oxyrinchus,demersal,benthivorous,3.33,elongated,heterocercal,1.60,2.45,non-guarder,12.8,2392873,269,0.05,430,60.0
Acipenseridae,,,F,Acipenseridae,demersal,,3.58,elongated,heterocercal,1.74,2.70,non-guarder,12.8,779896,250,0.04,186,52.1
Acropomatidae,Synagrops,bellus,S,Synagrops bellus,bathydemersal,generalist,3.72,fusiform,forked,1.43,,non-guarder,,38321,31,0.35,23,
Acropomatidae,Synagrops,bellus,S,Synagrops bellus,bathydemersal,generalist,3.72,fusiform,forked,1.43,,non-guarder,,38321,31,0.35,23,
Acropomatidae,Synagrops,bellus,S,Synagrops bellus,bathydemersal,generalist,3.72,fusiform,forked,1.43,,non-guarder,,38321,31,0.35,23,
Acropomatidae,Synagrops,bellus,S,Synagrops bellus,bathydemersal,generalist,3.72,fusiform,forked,1.43,,non-guarder,,38321,31,0.35,23,
Acropomatidae,Synagrops,spinosus,S,Synagrops spinosus,bathydemersal,generalist,3.72,fusiform,forked,1.73,,non-guarder,,38321,31,0.35,13,
Acropomatidae,Synagrops,spinosus,S,Synagrops spinosus,bathydemersal,generalist,3.72,fusiform,forked,1.73,,non-guarder,,38321,31,0.35,13,
Acropomatidae,Synagrops,spinosus,S,Synagrops spinosus,bathydemersal,generalist,3.72,fusiform,forked,1.73,,non-guarder,,38321,31,0.35,13,
Acropomatidae,Synagrops,spinosus,S,Synagrops spinosus,bathydemersal,generalist,3.72,fusiform,forked,1.73,,non-guarder,,38321,31,0.35,13,
Acropomatidae,Synagrops,,G,Synagrops,bathydemersal,generalist,3.72,fusiform,forked,1.73,,non-guarder,,38321,31,0.35,16,
Agonidae,Agonopsis,sterletus,S,Agonopsis sterletus,demersal,generalist,3.24,elongated,rounded,1.08,1.87,non-guarder,4.7,1873,19,0.46,15,7.0
Agonidae,Agonopsis,sterletus,S,Agonopsis sterletus,demersal,generalist,3.24,elongated,rounded,1.08,1.87,non-guarder,4.7,1873,19,0.46,15,7.0
Agonidae,Agonopsis,vulsa,S,Agonopsis vulsa,demersal,generalist,3.24,elongated,rounded,1.00,1.87,non-guarder,4.7,1873,16,0.33,20,7.0
Agonidae,Agonopsis,vulsa,S,Agonopsis vulsa,demersal,generalist,3.24,elongated,rounded,1.00,1.87,non-guarder,4.7,1873,19,0.46,20,7.0
Agonidae,Agonopsis,vulsa,S,Agonopsis vulsa,demersal,generalist,3.24,elongated,rounded,1.00,1.87,non-guarder,4.7,1873,19,0.46,20,7.0
Agonidae,Agonopsis,vulsa,S,Agonopsis vulsa,demersal,generalist,3.24,elongated,rounded,1.00,1.87,non-guarder,4.7,1873,19,0.46,20,7.0
Agonidae,Agonopsis,vulsa,S,Agonopsis vulsa,demersal,generalist,3.24,elongated,rounded,1.00,1.87,non-guarder,4.7,1873,19,0.46,20,7.0
Agonidae,Agonopsis,vulsa,S,Agonopsis vulsa,demersal,generalist,3.24,elongated,rounded,1.00,1.87,non-guarder,4.7,1873,19,0.46,20,7.0
Agonidae,Agonus,cataphractus,S,Agonus cataphractus,demersal,benthivorous,3.43,elongated,rounded,0.83,2.00,non-guarder,3.0,2550,15,0.47,21,1.0
Agonidae,Agonus,cataphractus,S,Agonus cataphractus,demersal,benthivorous,3.43,elongated,rounded,0.83,2.00,non-guarder,3.0,2550,15,0.47,21,1.0
Agonidae,Agonus,cataphractus,S,Agonus cataphractus,demersal,benthivorous,3.43,elongated,rounded,0.83,2.00,non-guarder,3.0,2550,15,0.47,21,1.0
Agonidae,Agonus,cataphractus,S,Agonus cataphractus,demersal,benthivorous,3.43,elongated,rounded,0.83,2.00,non-guarder,3.0,2550,15,0.47,21,1.0
Agonidae,Agonus,cataphractus,S,Agonus cataphractus,demersal,benthivorous,3.43,elongated,rounded,0.83,2.00,non-guarder,3.0,2550,15,0.47,21,1.0
Agonidae,Agonus,cataphractus,S,Agonus cataphractus,demersal,benthivorous,3.43,elongated,rounded,0.83,2.00,non-guarder,3.0,2550,15,0.47,21,1.0
Agonidae,Agonus,cataphractus,S,Agonus cataphractus,demersal,benthivorous,3.43,elongated,rounded,0.83,2.00,non-guarder,3.0,2550,15,0.47,21,1.0
Agonidae,Anoplagonus,inermis,S,Anoplagonus inermis,demersal,generalist,3.24,elongated,rounded,0.85,1.87,non-guarder,4.7,1873,16,0.33,15,7.0
Agonidae,Anoplagonus,inermis,S,Anoplagonus inermis,demersal,generalist,3.24,elongated,rounded,0.85,1.87,non-guarder,4.7,1873,19,0.46,15,7.0
Agonidae,Anoplagonus,inermis,S,Anoplagonus inermis,demersal,generalist,3.24,elongated,rounded,0.85,1.87,non-guarder,4.7,1873,19,0.46,15,7.0
Agonidae,Anoplagonus,inermis,S,Anoplagonus inermis,demersal,generalist,3.24,elongated,rounded,0.85,1.87,non-guarder,4.7,1873,19,0.46,15,7.0
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,demersal,benthivorous,3.00,elongated,rounded,0.63,1.87,non-guarder,4.7,1873,16,0.23,20,7.0
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,demersal,benthivorous,3.00,elongated,rounded,0.63,1.87,non-guarder,4.7,1873,16,0.23,20,7.0
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,demersal,benthivorous,3.00,elongated,rounded,0.63,1.87,non-guarder,4.7,1873,16,0.23,20,7.0
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,demersal,benthivorous,3.00,elongated,rounded,0.63,1.87,non-guarder,4.7,1873,16,0.23,20,7.0
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,demersal,benthivorous,3.00,elongated,rounded,0.63,1.87,non-guarder,4.7,1873,16,0.23,20,7.0
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,demersal,benthivorous,3.00,elongated,rounded,0.63,1.87,non-guarder,4.7,1873,16,0.23,20,7.0
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,demersal,benthivorous,3.00,elongated,rounded,0.63,1.87,non-guarder,4.7,1873,16,0.23,20,7.0
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,demersal,benthivorous,3.00,elongated,rounded,0.63,1.87,non-guarder,4.7,1873,16,0.23,20,7.0
Agonidae,Aspidophoroides,monopterygius,S,Aspidophoroides monopterygius,demersal,benthivorous,3.00,elongated,rounded,0.63,1.87,non-guarder,4.7,1873,16,0.23,20,7.0
Agonidae,Aspidophoroides,olrikii,S,Aspidophoroides olrikii,demersal,benthivorous,3.25,elongated,truncate,0.97,1.87,non-guarder,4.7,1873,16,0.23,9,7.0
Agonidae,Aspidophoroides,olrikii,S,Aspidophoroides olrikii,demersal,benthivorous,3.25,elongated,truncate,0.97,1.87,non-guarder,4.7,1873,16,0.23,9,7.0
Agonidae,Aspidophoroides,olrikii,S,Aspidophoroides olrikii,demersal,benthivorous,3.25,elongated,truncate,0.97,1.87,non-guarder,4.7,1873,16,0.23,9,7.0
Agonidae,Aspidophoroides,olrikii,S,Aspidophoroides olrikii,demersal,benthivorous,3.25,elongated,truncate,0.97,1.87,non-guarder,4.7,1873,16,0.23,9,7.0
Agonidae,Aspidophoroides,olrikii,S,Aspidophoroides olrikii,demersal,benthivorous,3.25,elongated,truncate,0.97,1.87,non-guarder,4.7,1873,16,0.23,9,7.0
Agonidae,Aspidophoroides,olrikii,S,Aspidophoroides olrikii,demersal,benthivorous,3.25,elongated,truncate,0.97,1.87,non-guarder,4.7,1873,16,0.23,9,7.0
Agonidae,Aspidophoroides,olrikii,S,Aspidophoroides olrikii,demersal,benthivorous,3.25,elongated,truncate,0.97,1.87,non-guarder,4.7,1873,16,0.23,9,7.0
Agonidae,Bathyagonus,alascanus,S,Bathyagonus alascanus,demersal,benthivorous,3.24,elongated,rounded,0.95,1.87,non-guarder,4.7,1873,16,0.33,13,9.0
Agonidae,Bathyagonus,alascanus,S,Bathyagonus alascanus,demersal,benthivorous,3.24,elongated,rounded,0.95,1.87,non-guarder,4.7,1873,19,0.46,13,9.0
Agonidae,Bathyagonus,alascanus,S,Bathyagonus alascanus,demersal,benthivorous,3.24,elongated,rounded,0.95,1.87,non-guarder,4.7,1873,19,0.46,13,9.0
Agonidae,Bathyagonus,alascanus,S,Bathyagonus alascanus,demersal,benthivorous,3.24,elongated,rounded,0.95,1.87,non-guarder,4.7,1873,19,0.46,13,9.0
Agonidae,Bathyagonus,infraspinatus,S,Bathyagonus infraspinatus,demersal,benthivorous,3.24,elongated,rounded,1.01,1.87,non-guarder,4.7,1873,16,0.33,12,9.0
Agonidae,Bathyagonus,infraspinatus,S,Bathyagonus infraspinatus,demersal,benthivorous,3.24,elongated,rounded,1.01,1.87,non-guarder,4.7,1873,19,0.46,12,9.0
Agonidae,Bathyagonus,infraspinatus,S,Bathyagonus infraspinatus,demersal,benthivorous,3.24,elongated,rounded,1.01,1.87,non-guarder,4.7,1873,19,0.46,12,9.0
Agonidae,Bathyagonus,nigripinnis,S,Bathyagonus nigripinnis,demersal,benthivorous,3.24,elongated,rounded,0.71,1.87,non-guarder,4.7,1873,19,0.46,24,9.0
Agonidae,Bathyagonus,nigripinnis,S,Bathyagonus nigripinnis,demersal,benthivorous,3.24,elongated,rounded,0.71,1.87,non-guarder,4.7,1873,16,0.33,24,9.0
Agonidae,Bathyagonus,nigripinnis,S,Bathyagonus nigripinnis,demersal,benthivorous,3.24,elongated,rounded,0.71,1.87,non-guarder,4.7,1873,19,0.46,24,9.0
Agonidae,Bathyagonus,nigripinnis,S,Bathyagonus nigripinnis,demersal,benthivorous,3.24,elongated,rounded,0.71,1.87,non-guarder,4.7,1873,19,0.46,24,9.0
Agonidae,Bathyagonus,nigripinnis,S,Bathyagonus nigripinnis,demersal,benthivorous,3.24,elongated,rounded,0.71,1.87,non-guarder,4.7,1873,19,0.46,24,9.0
Agonidae,Bathyagonus,nigripinnis,S,Bathyagonus nigripinnis,demersal,benthivorous,3.24,elongated,rounded,0.71,1.87,non-guarder,4.7,1873,16,0.33,24,9.0
Agonidae,Bathyagonus,nigripinnis,S,Bathyagonus nigripinnis,demersal,benthivorous,3.24,elongated,rounded,0.71,1.87,non-guarder,4.7,1873,19,0.46,24,9.0
Agonidae,Bathyagonus,pentacanthus,S,Bathyagonus pentacanthus,demersal,benthivorous,3.24,elongated,rounded,0.86,1.87,non-guarder,4.7,1873,19,0.46,23,9.0
Agonidae,Bathyagonus,pentacanthus,S,Bathyagonus pentacanthus,demersal,benthivorous,3.24,elongated,rounded,0.86,1.87,non-guarder,4.7,1873,19,0.46,23,9.0
Agonidae,Bathyagonus,pentacanthus,S,Bathyagonus pentacanthus,demersal,benthivorous,3.24,elongated,rounded,0.86,1.87,non-guarder,4.7,1873,19,0.46,23,9.0
Agonidae,Bathyagonus,pentacanthus,S,Bathyagonus pentacanthus,demersal,benthivorous,3.24,elongated,rounded,0.86,1.87,non-guarder,4.7,1873,19,0.46,23,9.0
Agonidae,Bathyagonus,,G,Bathyagonus,demersal,benthivorous,3.24,elongated,rounded,0.88,1.87,non-guarder,4.7,1873,19,0.46,18,9.0
Agonidae,Bathyagonus,,G,Bathyagonus,demersal,benthivorous,3.24,elongated,rounded,0.88,1.87,non-guarder,4.7,1873,19,0.46,18,9.0
Agonidae,Bathyagonus,,G,Bathyagonus,demersal,benthivorous,3.24,elongated,rounded,0.88,1.87,non-guarder,4.7,1873,19,0.46,18,9.0
Agonidae,Bathyagonus,,G,Bathyagonus,demersal,benthivorous,3.24,elongated,rounded,0.88,1.87,non-guarder,4.7,1873,19,0.46,18,9.0
Agonidae,Chesnonia,verrucosa,S,Chesnonia verrucosa,demersal,benthivorous,3.24,elongated,rounded,0.73,1.87,non-guarder,4.7,1873,19,0.46,20,7.0
Agonidae,Chesnonia,verrucosa,S,Chesnonia verrucosa,demersal,benthivorous,3.24,elongated,rounded,0.73,1.87,non-guarder,4.7,1873,19,0.46,20,7.0
Agonidae,Chesnonia,verrucosa,S,Chesnonia verrucosa,demersal,benthivorous,3.24,elongated,rounded,0.73,1.87,non-guarder,4.7,1873,19,0.46,20,7.0
Agonidae,Hypsagonus,quadricornis,S,Hypsagonus quadricornis,demersal,benthivorous,3.24,fusiform,rounded,1.23,1.87,non-guarder,4.7,1873,16,0.33,12,7.0
Agonidae,Hypsagonus,quadricornis,S,Hypsagonus quadricornis,demersal,benthivorous,3.24,fusiform,rounded,1.23,1.87,non-guarder,4.7,1873,19,0.46,12,7.0
Agonidae,Hypsagonus,quadricornis,S,Hypsagonus quadricornis,demersal,benthivorous,3.24,fusiform,rounded,1.23,1.87,non-guarder,4.7,1873,19,0.46,12,7.0
Agonidae,Hypsagonus,quadricornis,S,Hypsagonus quadricornis,demersal,benthivorous,3.24,fusiform,rounded,1.23,1.87,non-guarder,4.7,1873,16,0.33,12,7.0
Agonidae,Hypsagonus,quadricornis,S,Hypsagonus quadricornis,demersal,benthivorous,3.24,fusiform,rounded,1.23,1.87,non-guarder,4.7,1873,19,0.46,12,7.0
Agonidae,Leptagonus,decagonus,S,Leptagonus decagonus,demersal,generalist,3.21,elongated,rounded,0.44,2.00,non-guarder,3.0,1197,16,0.33,19,11.0
Agonidae,Leptagonus,decagonus,S,Leptagonus decagonus,demersal,generalist,3.21,elongated,rounded,0.44,2.00,non-guarder,3.0,1197,19,0.46,25,11.0
Agonidae,Leptagonus,decagonus,S,Leptagonus decagonus,demersal,generalist,3.21,elongated,rounded,0.44,2.00,non-guarder,3.0,1197,16,0.33,25,11.0
Agonidae,Leptagonus,decagonus,S,Leptagonus decagonus,demersal,generalist,3.21,elongated,rounded,0.44,2.00,non-guarder,3.0,1197,16,0.33,25,11.0
Agonidae,Leptagonus,decagonus,S,Leptagonus decagonus,demersal,generalist,3.21,elongated,rounded,0.44,2.00,non-guarder,3.0,1197,16,0.33,25,11.0
Agonidae,Leptagonus,decagonus,S,Leptagonus decagonus,demersal,generalist,3.21,elongated,rounded,0.44,2.00,non-guarder,3.0,1197,16,0.33,25,11.0
Agonidae,Leptagonus,decagonus,S,Leptagonus decagonus,demersal,generalist,3.21,elongated,rounded,0.44,2.00,non-guarder,3.0,1197,15,0.47,19,11.0
Agonidae,Leptagonus,decagonus,S,Leptagonus decagonus,demersal,generalist,3.21,elongated,rounded,0.44,2.00,non-guarder,3.0,1197,15,0.47,21,11.0
Agonidae,Leptagonus,decagonus,S,Leptagonus decagonus,demersal,generalist,3.21,elongated,rounded,0.44,2.00,non-guarder,3.0,1197,15,0.47,19,11.0
Agonidae,Leptagonus,decagonus,S,Leptagonus decagonus,demersal,generalist,3.21,elongated,rounded,0.44,2.00,non-guarder,3.0,1197,15,0.47,19,11.0
Agonidae,Leptagonus,decagonus,S,Leptagonus decagonus,demersal,generalist,3.21,elongated,rounded,0.44,2.00,non-guarder,3.0,1197,16,0.33,19,11.0
Agonidae,Leptagonus,decagonus,S,Leptagonus decagonus,demersal,generalist,3.21,elongated,rounded,0.44,2.00,non-guarder,3.0,1197,15,0.47,19,11.0
Agonidae,Leptagonus,,G,Leptagonus,demersal,generalist,3.21,elongated,rounded,0.44,2.00,non-guarder,3.0,1197,16,0.33,19,11.0
Agonidae,Leptagonus,,G,Leptagonus,demersal,generalist,3.21,elongated,rounded,0.44,2.00,non-guarder,3.0,1197,19,0.46,25,11.0
Agonidae,Leptagonus,,G,Leptagonus,demersal,generalist,3.21,elongated,rounded,0.44,2.00,non-guarder,3.0,1197,19,0.46,25,11.0
Agonidae,Leptagonus,,G,Leptagonus,demersal,generalist,3.21,elongated,rounded,0.44,2.00,non-guarder,3.0,1197,16,0.33,19,11.0
Agonidae,Occella,dodecaedron,S,Occella dodecaedron,demersal,planktivorous,3.24,elongated,rounded,0.72,1.87,non-guarder,4.7,1873,16,0.33,22,7.0
Agonidae,Occella,dodecaedron,S,Occella dodecaedron,demersal,planktivorous,3.24,elongated,rounded,0.72,1.87,non-guarder,4.7,1873,19,0.46,22,7.0
Agonidae,Occella,dodecaedron,S,Occella dodecaedron,demersal,planktivorous,3.24,elongated,rounded,0.72,1.87,non-guarder,4.7,1873,16,0.33,22,7.0
Agonidae,Odontopyxis,trispinosa,S,Odontopyxis trispinosa,demersal,planktivorous,3.17,elongated,rounded,1.20,1.87,non-guarder,4.7,1873,19,0.46,10,7.0
Agonidae,Odontopyxis,trispinosa,S,Odontopyxis trispinosa,demersal,planktivorous,3.17,elongated,rounded,1.20,1.87,non-guarder,4.7,1873,19,0.46,10,7.0
Agonidae,Odontopyxis,trispinosa,S,Odontopyxis trispinosa,demersal,planktivorous,3.17,elongated,rounded,1.20,1.87,non-guarder,4.7,1873,19,0.46,10,7.0
Agonidae,Odontopyxis,trispinosa,S,Odontopyxis trispinosa,demersal,planktivorous,3.17,elongated,rounded,1.20,1.87,non-guarder,4.7,1873,19,0.46,10,7.0
Agonidae,Odontopyxis,trispinosa,S,Odontopyxis trispinosa,demersal,planktivorous,3.17,elongated,rounded,1.20,1.87,non-guarder,4.7,1873,16,0.33,10,7.0
Agonidae,Pallasina,barbata,S,Pallasina barbata,demersal,planktivorous,3.24,elongated,rounded,0.57,1.87,non-guarder,4.7,1873,19,0.46,17,7.0
Agonidae,Percis,japonica,S,Percis japonica,bathydemersal,benthivorous,3.08,elongated,rounded,1.37,1.87,non-guarder,4.7,1873,16,0.33,42,7.0
Agonidae,Percis,japonica,S,Percis japonica,bathydemersal,benthivorous,3.08,elongated,rounded,1.37,1.87,non-guarder,4.7,1873,19,0.46,42,7.0
Agonidae,Percis,japonica,S,Percis japonica,bathydemersal,benthivorous,3.08,elongated,rounded,1.37,1.87,non-guarder,4.7,1873,16,0.33,42,7.0
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,demersal,benthivorous,3.36,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,16,0.33,31,7.0
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,demersal,benthivorous,3.36,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,16,0.33,31,7.0
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,demersal,benthivorous,3.36,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,19,0.46,31,7.0
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,demersal,benthivorous,3.36,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,16,0.33,31,7.0
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,demersal,benthivorous,3.36,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,19,0.46,31,7.0
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,demersal,benthivorous,3.36,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,19,0.46,31,7.0
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,demersal,benthivorous,3.36,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,16,0.33,31,7.0
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,demersal,benthivorous,3.36,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,16,0.33,31,7.0
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,demersal,benthivorous,3.36,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,19,0.46,31,7.0
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,demersal,benthivorous,3.36,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,15,0.47,31,7.0
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,demersal,benthivorous,3.36,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,16,0.33,31,7.0
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,demersal,benthivorous,3.36,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,19,0.46,31,7.0
Agonidae,Podothecus,veternus,S,Podothecus veternus,demersal,benthivorous,3.35,elongated,rounded,0.95,1.73,non-guarder,4.7,1873,19,0.46,28,7.0
Agonidae,Sarritor,frenatus,S,Sarritor frenatus,demersal,generalist,3.29,elongated,rounded,0.48,1.87,non-guarder,4.7,1873,16,0.33,27,7.0
Agonidae,Sarritor,frenatus,S,Sarritor frenatus,demersal,generalist,3.29,elongated,rounded,0.48,1.87,non-guarder,4.7,1873,19,0.46,27,7.0
Agonidae,Sarritor,frenatus,S,Sarritor frenatus,demersal,generalist,3.29,elongated,rounded,0.48,1.87,non-guarder,4.7,1873,19,0.46,27,7.0
Agonidae,Sarritor,frenatus,S,Sarritor frenatus,demersal,generalist,3.29,elongated,rounded,0.48,1.87,non-guarder,4.7,1873,19,0.46,27,7.0
Agonidae,Sarritor,frenatus,S,Sarritor frenatus,demersal,generalist,3.29,elongated,rounded,0.48,1.87,non-guarder,4.7,1873,16,0.33,27,7.0
Agonidae,Sarritor,frenatus,S,Sarritor frenatus,demersal,generalist,3.29,elongated,rounded,0.48,1.87,non-guarder,4.7,1873,16,0.33,27,7.0
Agonidae,Sarritor,frenatus,S,Sarritor frenatus,demersal,generalist,3.29,elongated,rounded,0.48,1.87,non-guarder,4.7,1873,19,0.46,27,7.0
Agonidae,Sarritor,frenatus,S,Sarritor frenatus,demersal,generalist,3.29,elongated,rounded,0.48,1.87,non-guarder,4.7,1873,15,0.47,27,7.0
Agonidae,Sarritor,frenatus,S,Sarritor frenatus,demersal,generalist,3.29,elongated,rounded,0.48,1.87,non-guarder,4.7,1873,16,0.33,27,7.0
Agonidae,Sarritor,frenatus,S,Sarritor frenatus,demersal,generalist,3.29,elongated,rounded,0.48,1.87,non-guarder,4.7,1873,19,0.46,27,7.0
Agonidae,Sarritor,leptorhynchus,S,Sarritor leptorhynchus,bathydemersal,benthivorous,3.29,elongated,rounded,0.51,1.87,non-guarder,4.7,1873,16,0.33,25,7.0
Agonidae,Sarritor,leptorhynchus,S,Sarritor leptorhynchus,bathydemersal,benthivorous,3.29,elongated,rounded,0.51,1.87,non-guarder,4.7,1873,19,0.46,25,7.0
Agonidae,Sarritor,leptorhynchus,S,Sarritor leptorhynchus,bathydemersal,benthivorous,3.29,elongated,rounded,0.51,1.87,non-guarder,4.7,1873,19,0.46,25,7.0
Agonidae,Sarritor,leptorhynchus,S,Sarritor leptorhynchus,bathydemersal,benthivorous,3.29,elongated,rounded,0.51,1.87,non-guarder,4.7,1873,19,0.46,25,7.0
Agonidae,Sarritor,leptorhynchus,S,Sarritor leptorhynchus,bathydemersal,benthivorous,3.29,elongated,rounded,0.51,1.87,non-guarder,4.7,1873,16,0.33,25,7.0
Agonidae,Sarritor,leptorhynchus,S,Sarritor leptorhynchus,bathydemersal,benthivorous,3.29,elongated,rounded,0.51,1.87,non-guarder,4.7,1873,19,0.46,25,7.0
Agonidae,Xeneretmus,latifrons,S,Xeneretmus latifrons,bathydemersal,planktivorous,3.20,elongated,rounded,0.85,1.87,non-guarder,4.7,1873,19,0.46,19,7.0
Agonidae,Xeneretmus,latifrons,S,Xeneretmus latifrons,bathydemersal,planktivorous,3.20,elongated,rounded,0.85,1.87,non-guarder,4.7,1873,19,0.46,19,7.0
Agonidae,Xeneretmus,latifrons,S,Xeneretmus latifrons,bathydemersal,planktivorous,3.20,elongated,rounded,0.85,1.87,non-guarder,4.7,1873,19,0.46,19,7.0
Agonidae,Xeneretmus,leiops,S,Xeneretmus leiops,demersal,planktivorous,3.20,elongated,rounded,0.73,1.87,non-guarder,4.7,1873,19,0.46,24,7.0
Agonidae,Xeneretmus,leiops,S,Xeneretmus leiops,demersal,planktivorous,3.20,elongated,rounded,0.73,1.87,non-guarder,4.7,1873,19,0.46,24,7.0
Agonidae,Xeneretmus,leiops,S,Xeneretmus leiops,demersal,planktivorous,3.20,elongated,rounded,0.73,1.87,non-guarder,4.7,1873,19,0.46,24,7.0
Agonidae,Xeneretmus,triacanthus,S,Xeneretmus triacanthus,bathydemersal,planktivorous,3.20,elongated,rounded,0.91,1.87,non-guarder,4.7,1873,19,0.46,18,7.0
Agonidae,Xeneretmus,triacanthus,S,Xeneretmus triacanthus,bathydemersal,planktivorous,3.20,elongated,rounded,0.91,1.87,non-guarder,4.7,1873,19,0.46,18,7.0
